icao24,callsign,origin_country,time_position,last_contact,longitude,latitude,baro_altitude,on_ground,velocity,true_track,vertical_rate,sensors,geo_altitude,squawk,spi,position_source,price
39de4f,TVF65XH,France,1767007114.0,1767007114,-2.5005,42.3293,11567.16,False,229.84,26.45,0.0,,11559.54,1406,False,0,290.44968306022463
39de4e,TVF83GT,France,1767007113.0,1767007114,1.9278,48.5802,1592.58,False,127.27,56.37,-2.93,,1699.26,5564,False,0,127.8623139765763
80162c,AXB1523,India,1767007114.0,1767007114,91.0497,23.3937,4152.9,False,174.78,73.06,-6.83,,4282.44,1377,False,0,193.16817076201383
e8027d,LPE2405,Chile,1767007114.0,1767007114,-47.2253,-23.5765,10363.2,False,227.77,296.28,0.33,,11041.38,,False,0,304.75939712816046
7c6b2f,JST538,Australia,1767007114.0,1767007114,148.4577,-35.3306,10668.0,False,257.64,52.63,0.33,,11102.34,4263,False,0,285.16033250553323
39de4b,TVF4315,France,1767007113.0,1767007113,12.3725,55.2759,5585.46,False,183.71,219.89,12.35,,5486.4,0762,False,0,192.03626086101642
408124,EXS631,United Kingdom,1767007114.0,1767007114,-2.3903,49.9706,10668.0,False,211.92,212.61,0.0,,10744.2,0517,False,0,294.98625631014784
408121,VIR130C,United Kingdom,1767007114.0,1767007114,-1.9416,52.6824,8846.82,False,228.81,147.95,-10.4,,8991.6,5162,False,0,269.66969458305823
39de4d,TVF59LN,France,1767007114.0,1767007114,21.4324,39.434,11582.4,False,207.47,311.08,0.0,,11635.74,5537,False,0,260.70291228130094
39de4c,TVF55NZ,France,1767007114.0,1767007114,-3.2476,40.8479,11590.02,False,230.14,8.87,0.33,,11574.78,6466,False,0,291.66900087171933
7c6b2b,JST797,Australia,1767007113.0,1767007114,153.3553,-27.0789,5151.12,False,187.84,181.57,8.13,,5394.96,,False,0,188.60124614375079
88044d,AIQ607,Thailand,1767007114.0,1767007114,101.3128,13.2447,7528.56,False,210.38,290.92,-12.03,,8054.34,,False,0,226.41880492859488
7c6b41,JST758,Australia,1767007113.0,1767007113,153.1684,-27.3172,365.76,False,69.82,219.32,-3.25,,396.24,1516,False,0,93.71164543132068
801640,AIC2356,India,1767007114.0,1767007114,86.9866,22.6351,10035.54,False,189.64,307.62,4.55,,10431.78,0715,False,0,210.87219510684403
880459,AIQ5422,Thailand,1767006835.0,1767006835,99.771,16.764,9479.28,False,238.22,169.3,3.9,,10073.64,4567,False,0,235.34804334973936
a5953a,TRF559,United States,1767006960.0,1767006960,-95.4883,31.9028,906.78,False,66.22,136.26,-0.33,,975.36,,False,0,81.61784941518056
440da5,EJU91CH,Austria,1767007113.0,1767007113,-6.097,43.1592,10660.38,False,222.78,211.3,0.0,,10652.76,3502,False,0,247.66097759331151
880454,AIQ519,Thailand,1767007113.0,1767007113,114.3334,22.3861,1356.36,False,99.29,286.56,0.0,,1417.32,,False,0,120.10314665190548
39de51,TVF48SQ,France,1767007114.0,1767007114,2.2086,48.6815,525.78,False,66.31,61.25,-3.58,,655.32,1000,False,0,71.54771848957579
39de50,TVF43PZ,France,1767007114.0,1767007114,15.1494,57.7976,11582.4,False,236.77,216.07,0.33,,11140.44,0740,False,0,251.54332597329417
39de53,TVF46UG,France,1767007113.0,1767007113,-3.2871,45.0179,11330.94,False,233.12,31.83,-2.6,,11338.56,2263,False,0,309.2585753784311
880458,AIQ3420,Thailand,1767007113.0,1767007114,99.451,17.8442,8176.26,False,208.9,162.37,6.83,,8663.94,,False,0,236.5738739902693
39de55,TVF20GR,France,1767007114.0,1767007114,-1.9175,47.1152,11285.22,False,220.13,220.17,0.33,,11338.56,1000,False,0,274.8011640937585
880456,AIQ3226,Thailand,1767006833.0,1767006833,99.8242,10.7072,10668.0,False,236.88,15.36,6.5,,11209.02,,False,0,252.0352362757309
7c35f2,KXW,Australia,1767007114.0,1767007114,115.8142,-32.4053,1333.5,False,47.67,186.82,0.33,,1386.84,1200,False,0,76.81574550949635
4b1803,SWR731C,Switzerland,1767007113.0,1767007113,8.4593,47.5382,845.82,False,84.82,137.21,-5.2,,952.5,1115,False,0,104.15345179419732
4b1805,SWR8GL,Switzerland,1767007114.0,1767007114,17.6514,45.1658,11277.6,False,239.51,117.23,0.0,,11308.08,3030,False,0,259.81592845155393
801648,IGO1822,India,1767007113.0,1767007113,72.9174,18.9178,3268.98,False,136.94,87.85,-3.25,,3360.42,2366,False,0,159.58816036691343
